VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,duration_min,avg_speed_mph,tip_percentage,time_of_day
1,2019-01-01 00:41:58,2019-01-01 00:44:05,1,0.0,1,N,161,161,3,3.5,0.5,0.5,0.0,0.0,0.3,4.8,,,,,
1,2019-01-01 00:20:15,2019-01-01 00:26:42,0,0.7,1,N,90,249,1,6.0,0.5,0.5,1.0,0.0,0.3,8.3,,,,,
2,2019-01-01 00:30:57,2019-01-01 00:31:06,2,0.0,1,N,262,262,1,2.5,0.5,0.5,8.0,0.0,0.3,11.8,,,,,
1,2019-01-01 00:26:00,2019-01-01 00:30:11,0,0.9,1,N,75,74,1,5.0,0.5,0.5,1.55,0.0,0.3,7.85,,,,,
1,2019-01-01 00:35:53,2019-01-01 00:46:38,0,2.2,1,N,263,239,1,9.5,0.5,0.5,2.15,0.0,0.3,12.95,,,,,
1,2019-01-01 00:50:17,2019-01-01 01:01:05,0,2.1,1,N,143,236,1,10.0,0.5,0.5,2.25,0.0,0.3,13.55,,,,,
1,2019-01-01 00:12:27,2019-01-01 00:25:14,0,2.1,1,N,141,143,1,10.5,0.5,0.5,2.36,0.0,0.3,14.16,,,,,
1,2019-01-01 00:40:38,2019-01-01 00:43:28,1,0.0,1,N,234,234,2,3.5,0.5,0.5,0.0,0.0,0.3,4.8,,,,,
1,2019-01-01 00:15:55,2019-01-01 00:33:41,0,2.4,1,N,239,141,2,12.5,0.5,0.5,0.0,0.0,0.3,13.8,,,,,
1,2019-01-01 00:47:21,2019-01-01 00:48:49,1,0.0,1,N,142,142,2,3.0,0.5,0.5,0.0,0.0,0.3,4.3,,,,,
1,2019-01-01 00:48:01,2019-01-01 00:50:40,0,0.5,1,N,236,75,1,4.0,0.5,0.5,1.3,0.0,0.3,6.6,,,,,
